t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
44705,84240,85067,344017,1740,-1402, NO_EVENT
44730,83709,83960,22186,531,-531, NO_EVENT
44755,83598,83666,91161,843,-111, NO_EVENT
44780,84481,84257,61521,883,883, NO_EVENT
44805,87417,86115,607151,2936,2936, NO_EVENT
44830,114120,96096,127078208,26703,26703, TOUCHED
44855,215063,193128,16942804,100943,100943, TOUCHED
44880,217566,215996,1385790,2503,2503, TOUCHED
44905,215601,216348,450378,1965,-1965, TOUCHED
44930,217197,216794,199029,1596,1596, TOUCHED
44955,96410,169647,114237737,120787,-120787, TOUCHED
44980,87944,90879,7311847,8466,-8466, UNTOUCHED
45005,85150,86387,870985,2794,-2794, NO_EVENT
45030,84110,84379,177169,1361,-1040, NO_EVENT
45055,83002,83501,107287,1108,-1108, NO_EVENT
45080,83365,83272,44935,560,363, NO_EVENT
45105,85514,84423,219458,1638,1638, NO_EVENT
45130,101177,89973,32735648,15663,15663, TOUCHED
45155,214539,179533,161701030,113362,113362, TOUCHED
45180,217453,213738,7178818,6281,2914, TOUCHED
45205,214571,216237,1360182,2882,-2882, TOUCHED
45230,218480,216614,2168082,3909,3909, TOUCHED
45255,89220,114255,54374442,77605,-77605, UNTOUCHED
45280,84807,86724,1891264,4413,-4413, NO_EVENT
45305,82721,83483,691943,2086,-2086, NO_EVENT
45330,82564,82693,37086,542,-157, NO_EVENT
45355,82514,82609,28058,439,-202, NO_EVENT
45380,82361,82580,12539,337,-153, NO_EVENT
45405,82575,82639,12676,440,214, NO_EVENT
45430,84297,83147,362254,1722,1722, NO_EVENT
45455,213624,141031,123071600,126851,126851, TOUCHED
45480,216436,215359,1229090,2812,2812, TOUCHED
45505,213538,215372,1352948,2898,-2898, TOUCHED
45530,103740,203242,12602382,110330,-109798, TOUCHED
45555,85933,91540,26843595,17807,-17807, UNTOUCHED
45580,82737,84480,1065995,3196,-3196, NO_EVENT
45605,82403,82724,58970,710,-334, NO_EVENT
45630,82610,82652,9307,400,207, NO_EVENT
45655,82387,82480,8717,274,-60, NO_EVENT
45680,82289,82449,7736,247,-98, NO_EVENT
45705,82152,82399,43713,591,-137, NO_EVENT
45730,82691,82563,25434,558,539, NO_EVENT
45755,134207,89489,101455838,51605,51605, TOUCHED
45780,213804,186394,158417642,82192,79597, TOUCHED
45805,216773,216126,2595492,3602,2969, TOUCHED
